QueryID;F1;Precision@5;Precision@10
1;0.060759615183054935;0.0;0.0
2;0.02249893562668124;0.0;0.0
3;0.08174982172913557;0.0;0.0
4;0.045350337272495246;0.0;0.0
5;0.2091027701211625;0.0;0.0
6;0.05248958319349861;0.0;0.0
7;0.043754632847292425;0.0;0.0
8;0.043661535627853916;0.0;0.0
9;0.031443155675716504;0.0;0.0
10;0.04754015415132498;0.0;0.0
11;0.09195329770541816;0.0;0.0
12;0.016444311556604634;0.0;0.0
13;0.03828736315587695;0.0;0.0
14;0.09537184512410174;0.2;0.1
15;0.16666853205159032;0.2;0.1
16;0.2085716358698475;0.2;0.1
17;0.07807975071264626;0.0;0.0
18;0.04233383189451838;0.0;0.0
19;0.03931774365114621;0.0;0.0
20;0.07073810090541575;0.0;0.0
21;0.042223721823805994;0.0;0.0
22;0.12903736604670515;0.2;0.2
23;0.08307235485534717;0.2;0.3
24;0.0455725973637094;0.0;0.0
25;0.11868437919213431;0.0;0.0
26;0.1001226315070426;0.0;0.0
27;0.020076149698248433;0.0;0.0
28;0.0893250584491013;0.0;0.0
29;0.06787745952401542;0.0;0.0
30;0.021685668199581697;0.0;0.0
31;0.06047461387060999;0.0;0.0
32;0.04699884298633129;0.0;0.0
33;0.1516440719581598;0.0;0.1
34;0.13367208092634583;0.0;0.0
35;0.01834452875046134;0.0;0.0
36;0.02030829539552356;0.0;0.0
37;0.19489218159044916;0.4;0.2
38;0.06576497960690668;0.2;0.1
39;0.23651186720994763;0.2;0.1
40;0.20160856408048772;0.4;0.3
41;0.024065505034338543;0.0;0.0
42;0.0731004416799336;0.2;0.1
43;0.23881739929276471;0.4;0.2
44;0.20643754647591941;0.0;0.0
45;0.04749996274228476;0.0;0.0
46;0.033721814736007;0.0;0.0
47;0.10894851957148112;0.0;0.0
48;0.065547755052159;0.0;0.0
49;0.07298872693685922;0.0;0.0
50;0.03859472278402503;0.0;0.0
51;0.27773635115136985;0.2;0.1
52;0.00698576218345216;0.0;0.0
53;0.067680443884536;0.2;0.2
54;0.08895743236163642;0.0;0.1
55;0.044345442169928626;0.0;0.0
56;0.05733181807521419;0.0;0.0
57;0.11441023156527207;0.4;0.4
58;0.17131566196945755;0.4;0.3
59;0.20568771377930245;0.4;0.3
60;0.07780297113778278;0.0;0.1
61;0.09746311568513687;0.0;0.0
62;0.18703612158997465;0.0;0.1
63;0.0656840821250281;0.2;0.1
64;0.09242352563844536;0.0;0.0
65;0.14020384701728997;0.0;0.0
66;0.10344569697096136;0.2;0.3
67;0.0385022516935101;0.0;0.0
68;0.06792213722696984;0.0;0.1
69;0.027722826090526266;0.0;0.0
70;0.02467857979961902;0.0;0.0
71;0.023707616417384534;0.0;0.0
72;0.024133954348019262;0.0;0.0
73;0.031170246335990037;0.0;0.0
74;0.010675773262362555;0.0;0.0
75;0.03787035208634269;0.0;0.0
76;0.017459930111081965;0.0;0.0
77;0.08833102579011956;0.0;0.0
78;0.12636807201605027;0.0;0.0
79;0.07525531306295719;0.0;0.0
80;0.09920821865841999;0.0;0.0
81;0.05746082869671997;0.0;0.0
82;0.09600563213299287;0.0;0.0
83;0.04995527507205583;0.0;0.0
84;0.030454800743782765;0.0;0.1
85;0.0576695670297884;0.0;0.0
86;0.07393250015363148;0.0;0.1
87;0.05692843200030926;0.0;0.0
88;0.02049052971609371;0.0;0.0
89;0.046279489597241485;0.0;0.0
90;0.05423459223163926;0.0;0.1
91;0.2907053956852666;0.4;0.4
92;0.1469785143508266;0.0;0.0
94;0.11975397846712547;0.0;0.0
95;0.02622150235065009;0.0;0.0
96;0.03194109404237551;0.0;0.1
97;0.03854179451920521;0.0;0.0
98;0.039087523282840014;0.0;0.0
99;0.012300375522361922;0.0;0.0
100;0.019533251080820026;0.0;0.0
